name,capital,region,population,area,languages,flag
Spain,Madrid,Europe,46438422,505992.0,Spanish,https://restcountries.eu/data/esp.svg
Germany,Berlin,Europe,81770900,357114.0,German,https://restcountries.eu/data/deu.svg
Spain,Madrid,Europe,46438422,505992.0,Spanish,https://restcountries.eu/data/esp.svg
France,Paris,Europe,66710000,640679.0,French,https://restcountries.eu/data/fra.svg
Mexico,Mexico City,Americas,122273473,1964375.0,Spanish,https://restcountries.eu/data/mex.svg
Belgium,Brussels,Europe,11319511,30528.0,Dutch,https://restcountries.eu/data/bel.svg
Canada,Ottawa,Americas,36155487,9984670.0,English,https://restcountries.eu/data/can.svg
Spain,Madrid,Europe,46438422,505992.0,Spanish,https://restcountries.eu/data/esp.svg
Spain,Madrid,Europe,46438422,505992.0,Spanish,https://restcountries.eu/data/esp.svg
Argentina,Buenos Aires,Americas,43590400,2780400.0,Spanish,https://restcountries.eu/data/arg.svg
Argentina,Buenos Aires,Americas,43590400,2780400.0,Spanish,https://restcountries.eu/data/arg.svg
Spain,Madrid,Europe,46438422,505992.0,Spanish,https://restcountries.eu/data/esp.svg
Spain,Madrid,Europe,46438422,505992.0,Spanish,https://restcountries.eu/data/esp.svg
Spain,Madrid,Europe,46438422,505992.0,Spanish,https://restcountries.eu/data/esp.svg
Italy,Rome,Europe,60665551,301336.0,Italian,https://restcountries.eu/data/ita.svg
Spain,Madrid,Europe,46438422,505992.0,Spanish,https://restcountries.eu/data/esp.svg
Argentina,Buenos Aires,Americas,43590400,2780400.0,Spanish,https://restcountries.eu/data/arg.svg
